epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1230.33,1.17799,2.95927,0.97238,0.00456,0.54903,0.21036,0.15035,1.02983,4.27302,0.87653,0.000410448,0.000410448,0.000410448
2,2249.12,1.08246,1.74454,0.95196,0.89672,0.85841,0.95763,0.65154,1.04156,2.21386,0.91503,0.000663346,0.000663346,0.000663346
3,3401.82,1.0307,1.39524,0.92917,0.91822,0.91212,0.97472,0.71337,0.90657,1.54713,0.88669,0.000751244,0.000751244,0.000751244
4,4402.6,0.96806,1.19339,0.91445,0.9242,0.96097,0.98355,0.70412,0.92426,1.28194,0.88055,0.0005075,0.0005075,0.0005075
5,5380.16,0.93148,1.07687,0.90153,0.95195,0.97003,0.98891,0.75119,0.85376,1.14835,0.86835,0.00026,0.00026,0.00026
